External Library Name;Link to License;License Name;Copyright Notice Included (Yes/No);Source Code Included (Yes/No);Counsel LDAP and Authorization Date;repository_type;repository_URL;is_runtime;license_category
pin-project-1.1.10;https://raw.githubusercontent.com/taiki-e/pin-project/v1.1.10/LICENSE-APACHE;Apache-2.0 OR MIT;Yes;No;N/A;crates|github;https://github.com/taiki-e/pin-project;NOT_KNOWN;notice
pin-project-internal-1.1.10;https://raw.githubusercontent.com/taiki-e/pin-project/v1.1.10/LICENSE-APACHE;Apache-2.0 OR MIT;Yes;No;N/A;crates|github;https://github.com/taiki-e/pin-project;NOT_KNOWN;notice
pin-project-lite-0.2.16;https://raw.githubusercontent.com/taiki-e/pin-project-lite/v0.2.16/LICENSE-APACHE;Apache-2.0 OR MIT;Yes;No;N/A;crates|github;https://github.com/taiki-e/pin-project-lite;NOT_KNOWN;notice
pin-utils-0.1.0;https://raw.githubusercontent.com/rust-lang/pin-utils/0.1.0/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-lang-nursery/pin-utils;NOT_KNOWN;notice
potential_utf-0.1.4;https://raw.githubusercontent.com/unicode-org/icu4x/main/LICENSE;Unicode-3.0;Yes;No;N/A;crates|github;https://github.com/unicode-org/icu4x;NOT_KNOWN;notice
ppv-lite86-0.2.21;https://raw.githubusercontent.com/cryptocorrosion/cryptocorrosion/ppv-lite86-0.2.21/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/cryptocorrosion/cryptocorrosion;NOT_KNOWN;notice
prettyplease-0.2.37;https://raw.githubusercontent.com/dtolnay/prettyplease/0.2.37/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/dtolnay/prettyplease;NOT_KNOWN;notice
proc-macro-error-attr2-2.0.0;https://raw.githubusercontent.com/GnomedDev/proc-macro-error-2/master/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/GnomedDev/proc-macro-error-2;NOT_KNOWN;notice
proc-macro-error2-2.0.1;https://raw.githubusercontent.com/GnomedDev/proc-macro-error-2/master/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/GnomedDev/proc-macro-error-2;NOT_KNOWN;notice
proc-macro2-1.0.106;https://raw.githubusercontent.com/dtolnay/proc-macro2/1.0.106/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/dtolnay/proc-macro2;NOT_KNOWN;notice
proc-macro2-1.0.93;https://raw.githubusercontent.com/dtolnay/proc-macro2/1.0.93/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/dtolnay/proc-macro2;NOT_KNOWN;notice
